Immigration Court,Judge,Total Decisions,% Granted Asylum,% Granted Other Relief,% Denied
Adelanto,"Depowell, Bryan E.",110,4.5,6.4,89.1
Adelanto,"Walker, Nathaniel B.",166,20.5,9,70.5
Adelanto,"Left, James M.",396,21.2,4.3,74.5
Adelanto,"Penalosa, Jose Luis, Jr.",248,22.6,2,75.4
Adelanto,"Lee, Amy T.",446,26.7,6.5,66.8
Adelanto,"Santos-Garcia, Sandra J.",258,30.6,5,64.3
Adelanto,"Simons, Ian R.",107,39.3,0,60.7
Adelanto,"Bjornerud, Maria",237,51.1,2.5,46.4
Arlington,"White, David",151,4.6,0,95.4
Arlington,"O'Brien, Matthew",272,5.9,0.4,93.8
Arlington,"McCloskey, Paul A.",770,10,1,89
Arlington,"Bain, Quynh Vu",641,23.4,0.8,75.8
Arlington,"Choi, Raphael",540,28.1,0.4,71.5
Arlington,"Torg, Cynthia S.",570,29.5,1.4,69.1
Arlington,"Barnes, John C.",289,35.6,0.7,63.7
Arlington,"Cardona, Lisa De",189,36,3.7,60.3
Arlington,"Hladylowycz, Roxanne C.",208,37,2.4,60.6
Arlington,"Spath, Vance H.",532,38.5,0.2,61.3
Arlington,"Farrar-Crockett, Emily",214,39.7,2.8,57.5
Arlington,"Donoso-Stevens, Karen",266,41.4,1.9,56.8
Arlington,"Snow, Thomas G.",338,44.7,2.1,53.3
Arlington,"Manuel, Elise",228,46.5,4.4,49.1
Arlington,"Nadkarni, Deepali",421,49.6,2.6,47.7
Arlington,"Perlman, Helaine R.",231,49.8,3,47.2
Arlington,"Mendez, Francisco",615,50.2,2.4,47.3
Arlington,"Kelly, Wynne P.",308,50.6,1.3,48.1
Arlington,"Bryant, John Milo",274,51.1,1.1,47.8
Arlington,"Lukose, Lolita M.",380,53.4,0.5,46.1
Arlington,"Owens, Robert P.",298,59.1,1.3,39.6
Arlington,"Soper, Emmett D.",534,65.4,2.4,32.2
Arlington,"Hong, J. Traci",180,66.1,0.6,33.3
Arlington,"Kaplan, Elliot",150,70.7,2,27.3
Arlington,"Burman, Lawrence O.",645,82.6,4.5,12.9
Atlanta,"Wilson, Earle B.",178,1.7,0,98.3
Atlanta,"Gillies, John M.",295,2,0.3,97.6
Atlanta,"Criss, Scott D.",133,3,0.8,96.2
Atlanta,"Farrar-Crockett, Emily",367,4.6,0,95.4
Atlanta,"Taylor, Philip P.",149,4.7,2.7,92.6
Atlanta,"Maldonado, Njeri B.",513,6.8,0,93.2
Atlanta,"Fisher, Ryan",220,10.5,1.8,87.7
Atlanta,"Schnitzer, Michael",113,11.5,7.1,81.4
Atlanta,"Doughty, Blake",318,12.6,0,87.4
Atlanta,"Barr, Philip A.",301,13,0.7,86.4
Atlanta,"Watson, Bryan D.",195,27.2,0,72.8
Atlanta - ATD,"Gallow, Sheila E.",100,11,2,87
Aurora,"Sims, Deitrich H.",149,2,6.7,91.3
Aurora,"McGrail, Elizabeth H.",320,26.6,6.9,66.6
Aurora,"Caley, Steven",352,27.3,8.5,64.2
Aurora,"Carbone, Nina M.",373,46.6,2.4,50.9
Baltimore,"Williams, Phillip T.",1436,26.9,3.1,70
Baltimore,"Jones, David M.",194,30.9,3.6,65.5
Baltimore,"Padilla, Nelson Vargas",1109,36.1,1.1,62.8
Baltimore,"Crosland, David W.",1204,40.9,1.2,58
Baltimore,"Kessler, Elizabeth A.",637,46,2.2,51.8
Baltimore,"Mahasa, Zakia",944,50.8,1.2,48
Baltimore,"Verma, Dinesh C.",577,54.1,1.6,44.4
Baltimore,"Koelsch, David",1418,58.1,0.8,41.1
Baltimore,"Dornell, Lisa",259,62.5,0.4,37.1
Baltimore,"Hartye, Alice S.",194,74.7,4.1,21.1
Baltimore,"Weil, Jack H.",120,86.7,1.7,11.7
Baltimore,"Slavin, Denise N.",434,86.9,0,13.1
Batavia,"Aikman, Susan F.",123,6.5,11.4,82.1
Bloomington,"Miller, Monte G.",464,11.2,3,85.8
Bloomington,"Ward, George James",183,17.5,1.1,81.4
Bloomington,"Sardelli, Brian",387,18.3,0.5,81.1
Bloomington,"Olmanson, Kristin W.",123,18.7,2.4,78.9
Bloomington,"Mazzie, Sarah B.",568,21,1.1,78
Bloomington,"Cardona, Lisa De",284,22.9,1.4,75.7
Bloomington,"Wood, Ryan R.",183,24.6,2.2,73.2
Bloomington,"Dierkes, Joseph R.",232,30.2,0,69.8
Bloomington,"Auh, Kyung S.",188,39.4,2.1,58.5
Bloomington,"Carr, M. Audrey",298,43.3,1.3,55.4
Bloomington,"Sagerman, Roger F.",184,51.1,0.5,48.4
Bloomington,"Hansen, Katherine L.",360,60.3,4.4,35.3
Boston,"Robertson, David",127,5.5,0,94.5
Boston,"Mulcahy, Jennifer A",111,17.1,0.9,82
Boston,"Roe, Adrian N.",107,26.2,0.9,72.9
Boston,"Terrien, Jeb",234,27.8,0,72.2
Boston,"Kahan, Michelle",444,30,0.7,69.4
Boston,"Furlong, John M., Jr.",334,33.2,0.9,65.9
Boston,"Napier, Wade Thomas",127,36.2,2.4,61.4
Boston,"Saldana Mistry, Lucero",104,37.5,1.9,60.6
Boston,"Jalelian, Lincoln S.",231,39.8,2.6,57.6
Boston,"Masters, Todd A.",713,40,1,59
Boston,"Sturla, Mario J.",1110,40.7,2.3,56.9
Boston,"Tregerman, Gwendylan E.",718,41.1,0.6,58.4
Boston,"Cato, Richard",137,43.1,4.4,52.6
Boston,"D'Angelo, Matthew J.",160,47.5,0,52.5
Boston,"Cade, Sarah",786,48.5,1.8,49.7
Boston,"Rusher, Marna M",116,56,1.7,42.2
Boston,"Sady, Michael",248,58.5,0.4,41.1
